(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	11.364	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	14.265	1.0	0.0	0.96	0.04	0.0	0.0	0.04	0.96	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	3.28	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	8.216	0.96	0.04	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	6.882	1.0	0.0	0.96	0.04	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	21.759	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	26.313	0.56	0.44	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	14.009	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	4.413	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	12.734	0.98	0.02	0.98	0.0	0.02	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	6.428	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	13.651	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	6.323	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	23.335	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	15.196	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	1.888	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	21.084	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	33.97	0.1	0.9	0.02	0.86	0.0	0.12	0.84	0.16	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	3.769	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	30.935	1.0	0.0	0.36	0.64	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	7.013	1.0	0.0	0.98	0.02	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	26.829	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	0.472	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	5.184	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	12.443	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	23.281	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	10.616	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	34.674	0.0	1.0	0.0	0.64	0.0	0.36	0.0	1.0	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	17.506	0.98	0.02	0.9	0.1	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	20.384	0.52	0.48	0.0	0.96	0.04	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	1.992	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	17.26	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	5.829	0.6	0.4	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	10.489	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	18.075	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	16.315	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	1.104	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	1.426	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	2.946	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	16.371	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	5.713	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	18.994	0.18	0.82	0.02	0.9	0.0	0.08	0.24	0.76	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	6.987	1.0	0.0	0.94	0.06	0.0	0.0	0.06	0.94	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	5.653	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.2	True	5	1	1.0	21.542	1.0	0.0	1.0	0.0	0.0	0.0	0.9	0.1	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	2.053	1.0	0.0	0.96	0.04	0.0	0.0	0.04	0.96	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	3.485	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	18.026	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	38.459	0.54	0.46	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	18.903	1.0	0.0	1.0	0.0	0.0	0.0	0.48	0.52	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	42.592	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.0	True	3	1	1.0	15.876	0.98	0.02	1.0	0.0	0.0	0.0	0.12	0.88	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	6.043	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	7.26	1.0	0.0	0.88	0.12	0.0	0.0	0.88	0.12	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	15.268	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	6.791	1.0	0.0	0.56	0.44	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	5.392	1.0	0.0	1.0	0.0	0.0	0.0	0.64	0.36	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	9.976	0.04	0.96	0.0	0.4	0.0	0.6	1.0	0.0	011
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	33.801	0.96	0.04	0.96	0.0	0.04	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	17.188	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	24.07	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	11.666	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	14.036	0.94	0.06	0.94	0.0	0.02	0.04	0.06	0.94	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	8.569	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	10.319	1.0	0.0	1.0	0.0	0.0	0.0	0.1	0.9	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	26.638	0.46	0.54	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	26.326	0.0	1.0	0.0	0.22	0.0	0.78	0.22	0.78	111
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	14.277	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	17.141	0.44	0.56	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	20.565	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	7.439	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	13.235	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	4.986	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	15.391	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	0.575	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	41.809	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	66.672	0.96	0.04	0.98	0.0	0.0	0.02	0.1	0.9	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	30.811	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	17.275	1.0	0.0	1.0	0.0	0.0	0.0	0.92	0.08	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	72.761	0.0	1.0	0.0	0.92	0.0	0.08	0.08	0.92	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	83.726	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	12.548	0.54	0.46	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	55.551	0.04	0.96	0.02	0.98	0.0	0.0	0.02	0.98	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	18.986	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	11.584	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	17.676	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	77.073	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	15.234	0.76	0.24	0.38	0.56	0.06	0.0	0.52	0.48	001
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	45.919	0.0	1.0	0.0	0.96	0.0	0.04	0.04	0.96	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	7.501	0.02	0.98	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	29.449	0.98	0.02	0.98	0.02	0.0	0.0	0.64	0.36	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	18.826	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	77.572	0.0	1.0	0.0	0.94	0.0	0.06	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	26.234	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	17.033	0.98	0.02	0.96	0.04	0.0	0.0	0.14	0.86	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	33.24	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	43.04	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	61.058	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	6.079	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	32.503	0.96	0.04	0.96	0.0	0.04	0.0	0.96	0.04	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	24.002	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	20.78	0.38	0.62	0.0	1.0	0.0	0.0	1.0	0.0	001
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	0.471	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	48.886	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	21.904	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	75.612	0.06	0.94	0.04	0.96	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	73.388	0.0	1.0	0.0	1.0	0.0	0.0	0.02	0.98	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	89.914	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	39.92	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	23.503	1.0	0.0	0.9	0.1	0.0	0.0	0.9	0.1	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	97.108	0.02	0.98	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	5.066	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	14.706	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	14.408	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	10.775	1.0	0.0	1.0	0.0	0.0	0.0	0.82	0.18	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	27.205	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	42.006	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	31.932	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	15.509	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	0.505	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	43.684	0.0	1.0	0.0	0.28	0.0	0.72	0.72	0.28	011
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	37.981	0.98	0.02	1.0	0.0	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	76.538	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	55.545	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	23.677	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	85.64	0.0	1.0	0.0	1.0	0.0	0.0	0.06	0.94	101
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	36.525	1.0	0.0	0.98	0.02	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,1,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.6	True	2	1	1.0	47.597	0.98	0.02	1.0	0.0	0.0	0.0	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	28.257	0.04	0.96	0.02	0.46	0.0	0.52	0.02	0.98	111
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	15.224	0.98	0.02	0.94	0.04	0.0	0.02	0.98	0.02	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	20.844	0.96	0.04	0.98	0.0	0.0	0.02	1.0	0.0	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	22.936	0.02	0.98	0.0	0.78	0.0	0.22	1.0	0.0	001
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	5.915	1.0	0.0	0.98	0.02	0.0	0.0	0.02	0.98	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	6.791	0.22	0.78	0.02	0.92	0.0	0.06	0.02	0.98	101
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	9.784	0.92	0.08	0.86	0.06	0.0	0.08	0.86	0.14	000
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	12.75	1.0	0.0	0.98	0.02	0.0	0.0	0.0	1.0	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.4	True	5	1	1.0	16.282	0.94	0.06	0.94	0.0	0.06	0.0	0.06	0.94	100
(0,0,1,1,0,0,1,1)	(0,0,1,1)	50	5000	0.1	0.1	0.1	0.1	0.3	True	5	1	1.0	11.192	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	100
